molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
triplo_negativo,1.8056,1.9668,0.6647,0.9738,1.5664,2.0535,1.2567,1.1689
triplo_negativo,2.5908,1.8265,0.6679,0.9747,1.6468,2.1589,2.1654,2.0143
triplo_negativo,1.8606,1.8264,0.668,0.974,1.8249,2.3923,2.5426,2.3651
triplo_negativo,1.8585,1.8274,0.6679,0.974,1.4822,1.9431,2.5392,2.408
triplo_negativo,1.8597,1.8263,0.6628,0.974,1.6975,2.2253,2.5411,2.4146
triplo_negativo,1.8588,1.8268,0.6697,0.9746,1.5369,2.0148,1.3397,1.2682
triplo_negativo,1.856,1.8274,0.6695,0.9769,1.6672,2.1856,1.3353,1.2688
triplo_negativo,2.5877,1.8265,0.6697,0.9357,1.6963,2.2238,2.3736,2.2459
triplo_negativo,1.8541,1.9861,0.6694,0.9716,1.5346,2.0118,1.3324,1.266
triplo_negativo,2.522,1.9863,0.6693,0.976,1.5644,2.0508,2.0465,1.9446
triplo_negativo,1.8531,1.987,0.6693,0.9716,1.4549,1.9073,2.5309,2.4045
triplo_negativo,1.8519,1.9866,0.6693,0.9738,1.4822,1.9431,2.5289,2.3997
triplo_negativo,2.5188,1.9671,0.6696,0.972,1.5813,2.0731,3.294,3.0825
triplo_negativo,1.8522,1.9669,0.6689,0.9781,1.7564,2.3026,1.3294,1.2585
triplo_negativo,1.8538,1.9672,0.9789,0.9351,1.6936,2.2202,1.3319,1.2653
triplo_negativo,1.8528,1.9668,0.9761,0.9862,1.7994,2.359,1.3304,1.2642
triplo_negativo,1.8525,1.9667,0.976,0.9352,1.6133,2.115,1.3299,1.2585
triplo_negativo,1.8534,2.2331,0.9759,0.9273,1.7192,2.2538,1.3314,1.265
triplo_negativo,1.8606,2.2326,0.7881,0.998,1.457,1.9101,2.5426,2.416
triplo_negativo,1.8522,2.783,0.9304,0.9103,1.5788,2.0697,1.3294,1.2585
triplo_negativo,1.8547,2.7754,0.9782,0.9723,1.5458,2.0265,1.3333,1.2669
